# KG estratto dalle lezioni BigBang di Prometeo
# Relazioni: SIMILAR_TO (cluster Kaikki), OPPOSITE_OF (antonimi)
# soggetto	RELAZIONE	oggetto
abbassare	OPPOSITE_OF	alzare
abbastanza	OPPOSITE_OF	insufficiente
abbellire	OPPOSITE_OF	imbruttire
abbiente	OPPOSITE_OF	miserabile
abbondante	OPPOSITE_OF	scarso
abile	OPPOSITE_OF	inabile
abilitare	OPPOSITE_OF	disabilitare
abitabile	OPPOSITE_OF	inabitabile
abituare	OPPOSITE_OF	disabituare
accanito	OPPOSITE_OF	arrendevole
accanito	OPPOSITE_OF	docile
accanito	OPPOSITE_OF	mite
accasciare	OPPOSITE_OF	fortificare
accasciare	OPPOSITE_OF	irrobustire
accasciare	OPPOSITE_OF	rafforzare
accelerare	OPPOSITE_OF	rallentare
accendere	OPPOSITE_OF	spegnere
accettabile	OPPOSITE_OF	inaccettabile
accettare	OPPOSITE_OF	rifiutare
accogliere	OPPOSITE_OF	rifiutare
accontentare	OPPOSITE_OF	deludere
accontentare	OPPOSITE_OF	scontentare
accordare	OPPOSITE_OF	rifiutare
accordo	OPPOSITE_OF	disaccordo
acculturato	OPPOSITE_OF	colto
accurato	OPPOSITE_OF	inaccurato
accusa	OPPOSITE_OF	difesa
accusare	OPPOSITE_OF	scagionare
acre	OPPOSITE_OF	amabile
acre	OPPOSITE_OF	dolce
adatto	OPPOSITE_OF	inadatto
addormentato	OPPOSITE_OF	sveglio
adeguatezza	OPPOSITE_OF	inadeguatezza
adeguato	OPPOSITE_OF	meschino
adempiente	OPPOSITE_OF	inadempiente
aderente	OPPOSITE_OF	largo
adorabile	OPPOSITE_OF	odioso
adorazione	OPPOSITE_OF	odio
adulto	OPPOSITE_OF	fanciullo
aerobico	OPPOSITE_OF	anaerobico
affabilità	OPPOSITE_OF	rancore
affermativo	OPPOSITE_OF	negativo
affermazione	OPPOSITE_OF	negazione
affermazione	OPPOSITE_OF	ritrattazione
affermazione	OPPOSITE_OF	sconfessione
affiancare	OPPOSITE_OF	osteggiare
affidabile	OPPOSITE_OF	inaffidabile
affidabilità	OPPOSITE_OF	inaffidabilità
affrettare	OPPOSITE_OF	rallentare
agevolare	OPPOSITE_OF	ostacolare
agevole	OPPOSITE_OF	disagevole
agevole	OPPOSITE_OF	malagevole
aggravio	OPPOSITE_OF	sgravio
aggrovigliare	OPPOSITE_OF	dipanare
